Sample Number,Variety,endo,Source notes,year,location,Extra Notes
15A0385,C1540,field,C1540 Su,2015,New York,
15A0463,C1540,field,Found in Diversity Panel. No notes,2015,New York,
15A0891,C1540,field,C1540 Su,2015,New York,
14A0046,C18,su1,Found in Diversity Panel. No notes,2014,New York,
14A0449,C18,su1,Found in Diversity Panel. No notes,2014,New York,
30478,C18,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
31254,C18,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
2422,C18,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
14A0049,C2,su1,Whipple Yellow (Silas Whipple),2014,New York,
14A0495,C2,su1,Whipple Yellow (Silas Whipple),2014,New York,
30739,C2,su1,Whipple Yellow (Silas Whipple),2014,Wisconsin,
31279,C2,su1,Whipple Yellow (Silas Whipple),2014,Wisconsin,
15A0026,C2,su1,Whipple Yellow (Silas Whipple),2015,New York,
15A0576,C2,su1,Whipple Yellow (Silas Whipple),2015,New York,
14A0005,C22,su1,Tendergold 24 outcross,2014,New York,
14A0458,C22,su1,Tendergold 24 outcross,2014,New York,
30932,C22,su1,Tendergold 24 outcross,2014,Wisconsin,
31275,C22,su1,Tendergold 24 outcross,2014,Wisconsin,
15A0122,C22,su1,Tendergold 24 outcross,2015,New York,
15A0807,C22,su1,Tendergold 24 outcross,2015,New York,
2340,C22,su1,Tendergold 24 outcross,2015,Wisconsin,
3010,C22,su1,Tendergold 24 outcross,2015,Wisconsin,
14A0310,C23,su1,Whipple Early Yellow,2014,New York,
14A0690,C23,su1,Whipple Early Yellow,2014,New York,
31034,C23,su1,Whipple Early Yellow,2014,Wisconsin,
31462,C23,su1,Whipple Early Yellow,2014,Wisconsin,
15A0254,C23,su1,Whipple Early Yellow,2015,New York,
15A0703,C23,su1,Whipple Early Yellow,2015,New York,
14A0220,C27,su1,Whipple Early Yellow,2014,New York,
31720,C27,su1,Whipple Early Yellow,2014,Wisconsin,
32428,C27,su1,Whipple Early Yellow,2014,Wisconsin,
15A0454,C27,su1,Whipple Early Yellow,2015,New York,
15A0870,C27,su1,Whipple Early Yellow,2015,New York,
3219,C27,su1,Whipple Early Yellow,2015,Wisconsin,
14A0287,C27red,su1,not found in compliation or diversity panel,2014,New York,
14A0623,C27red,su1,not found in compliation or diversity panel,2014,New York,
30944,C27red,su1,not found in compliation or diversity panel,2014,Wisconsin,
31058,C27red,su1,not found in compliation or diversity panel,2014,Wisconsin,
15A0284,C27red,su1,not found in compliation or diversity panel,2015,New York,
15A0847,C27red,su1,not found in compliation or diversity panel,2015,New York,
2957,C27red,su1,not found in compliation or diversity panel,2015,Wisconsin,
14A0085,C3,su1,spanish gold (13 on label),2014,New York,
14A0442,C3,su1,spanish gold (13 on label),2014,New York,
30303,C3,su1,spanish gold (13 on label),2014,Wisconsin,
15A0092,C3,su1,spanish gold,2015,New York,
15A0548,C3,su1,spanish gold (13 on label),2015,New York,
14A0064,C30,su1,P39,2014,New York,
14A0489,C30,su1,P39,2014,New York,
30709,C30,su1,p39,2014,Wisconsin,
30837,C30,su1,P39,2014,Wisconsin,
15A0056,C30,su1,P39,2015,New York,
15A0574,C30,su1,P39,2015,New York,
2232,C30,su1,p39,2015,Wisconsin,
14A0291,C31,su1,Long Island Beauty x P39,2014,New York,
14A0647,C31,su1,Long Island Beauty x P39,2014,New York,
31304,C31,su1,Long Island Beauty x P39,2014,Wisconsin,
31629,C31,su1,Long Island Beauty x P39,2014,Wisconsin,
15A0424,C31,su1,Long Island Beauty x P39,2015,New York,
14A0076,C38,su1,Golden Bantam,2014,New York,
14A0484,C38,su1,Golden Bantam,2014,New York,
30729,C38,su1,Golden Bantam,2014,Wisconsin,
30850,C38,su1,Golden Bantam,2014,Wisconsin,
31074,C38,su1,Golden Bantam,2014,Wisconsin,
15A0089,C38,su1,Golden Bantam,2015,New York,
15A0568,C38,su1,Golden Bantam,2015,New York,
2411,C38,su1,Golden Bantam,2015,Wisconsin,
2551,C38,su1,Golden Bantam,2015,Wisconsin,
14A0038,C4,su1,Golden Bantam,2014,New York,
14A0518,C4,su1,Golden Bantam,2014,New York,
30841,C4,su1,Spanish Gold,2014,Wisconsin,
31075,C4,su1,Spanish Gold,2014,Wisconsin,
15A0060,C4,su1,Golden Bantam,2015,New York,
15A0549,C4,su1,Golden Bantam,2015,New York,
2223,C4,su1,Spanish Gold,2015,Wisconsin,
14A0272,C40,su1,957-3 x P51,2014,New York,
14A0618,C40,su1,957-3 x P51,2014,New York,
31268,C40,su1,957-3 x P51,2014,Wisconsin,
32150,C40,su1,957-3 x P51,2014,Wisconsin,
15A0127,C40,su1,957-3 x P51,2015,New York,
15A0784,C40,su1,957-3 x P51,2015,New York,
3021,C40,su1,957-3 x P51,2015,Wisconsin,
14A0261,C42,su1,Golden Bantam,2014,New York,
14A0677,C42,su1,Golden Bantam,2014,New York,
31043,C42,su1,Golden Bantam,2014,Wisconsin,
31722,C42,su1,Golden Bantam,2014,Wisconsin,
15A0347,C42,su1,Golden Bantam,2015,New York,
15A0700,C42,su1,Golden Bantam,2015,New York,
14A0306,C5,su1,Crosby,2014,New York,
14A0536,C5,su1,Crosby,2014,New York,
14A0640,C5,su1,Crosby,2014,New York,
30508,C5,su1,Crosby,2014,Wisconsin,
31046,C5,su1,Crosby,2014,Wisconsin,
31276,C5,su1,Crosby,2014,Wisconsin,
31330,C5,su1,Crosby,2014,Wisconsin,
31332,C5,su1,Crosby,2014,Wisconsin,
14A0010,C5-NT,su1,Found in Diversity Panel. No notes,2014,New York,
14A0463,C5-NT,su1,Found in Diversity Panel. No notes,2014,New York,
30844,C5-NT,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
31078,C5-NT,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
2414,C5-NT,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
14A0335,C65,su1,Yellow sugary X C50 (3),2014,New York,
14A0695,C65,su1,Yellow sugary X C50 (3),2014,New York,
32321,C65,su1,Yellow sugary X C50 (3),2014,Wisconsin,
32436,C65,su1,Yellow sugary X C50 (3),2014,Wisconsin,
15A0466,C65,su1,Yellow sugary X C50 (3),2015,New York,
15A0908,C65,su1,Yellow sugary X C50 (3),2015,New York,
3216,C65,su1,Yellow sugary X C50 (3),2015,Wisconsin,
14A0101,C68,su1,C7 outcross,2014,New York,
14A0563,C68,su1,C7 outcross,2014,New York,
31736,C68,su1,C7 outcross,2014,Wisconsin,
32306,C68,su1,C7 outcross,2014,Wisconsin,
3414,C68,su1,C7 outcross,2015,Wisconsin,
14A0628,C68R,su1,C68R(x)-552:63,2014,New York,
31631,C68R,su1,C68R(x)-552:63,2014,Wisconsin,
32118,C68R,su1,C68R(x)-552:63,2014,Wisconsin,
3155,C68R,su1,C68R(x)-552:63,2015,Wisconsin,
15A0481,C68R(x)-552:63,su1,C68R(x)-552:63,2015,New York,
15A0691,C68R(x)-552:63,su1,C68R(x)-552:63,2015,New York,
15A0966,C68R(x)-552:63,su1,C68R(x)-552:63,2015,New York,
14A0001,C6A,su1,Whipple Yellow ?,2014,New York,
14A0482,C6A,su1,Whipple Yellow ?,2014,New York,
30477,C6A,su1,Whipple Yellow ?,2014,Wisconsin,
31129,C6A,su1,Whipple Yellow ?,2014,Wisconsin,
15A0126,C6A,su1,Whipple Yellow ?,2015,New York,
15A0642,C6A,su1,Whipple Yellow ?,2015,New York,
2746,C6A,su1,Whipple Yellow ?,2015,Wisconsin,
14A0209,C7,su1,Found in Diversity Panel. No notes,2014,New York,
14A0559,C7,su1,Found in Diversity Panel. No notes,2014,New York,
30672,C7,su1,Whipple Yellow,2014,Wisconsin,
31452,C7,su1,Whipple Yellow,2014,Wisconsin,
15A0416,C7,su1,Found in Diversity Panel. No notes,2015,New York,
15A0919,C7,su1,Found in Diversity Panel. No notes,2015,New York,
3422,C7,su1,Whipple Yellow,2015,Wisconsin,
14A0173,C7e,su1,Found in Diversity Panel. No notes,2014,New York,
14A0604,C7e,su1,Found in Diversity Panel. No notes,2014,New York,
30911,C7e,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
31328,C7e,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0355,C7e,su1,Found in Diversity Panel. No notes,2015,New York,
15A0729,C7e,su1,Found in Diversity Panel. No notes,2015,New York,
2621,C7e,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
14A0059,C81,su1,P51x C75,2014,New York,
14A0516,C81,su1,P51x C75,2014,New York,
31070,C81,su1,P51x C75,2014,Wisconsin,
31125,C81,su1,P51x C75,2014,Wisconsin,
15A0957,C81,su1,P51x C75,2015,New York,
3563,C81,su1,P51x C75,2015,Wisconsin,
14A0638,C8p,su1,not found in compliation or diversity panel,2014,New York,
31049,C8p,su1,not found in compliation or diversity panel,2014,Wisconsin,
31107,C8p,su1,not found in compliation or diversity panel,2014,Wisconsin,
2365,C8p,su1,not found in compliation or diversity panel,2015,Wisconsin,
14A0256,C8p,su1,not found in compliation or diversity panel,2014,New York,Manually Added 2021.09.06
15A0028,C8p,su1,not found in compliation or diversity panel,2015,New York,Manually Added 2021.09.06
14A0749,C8w,su1,not found in compliation or diversity panel,2014,New York,
30838,C8w,su1,not found in compliation or diversity panel,2014,Wisconsin,
30908,C8w,su1,not found in compliation or diversity panel,2014,Wisconsin,
14A0324,C8w,su1,not found in compliation or diversity panel,2014,New York,Manually Added 2021.09.06
15A0351,C8w,su1,not found in compliation or diversity panel,2015,New York,Manually Added 2021.09.06
15A0802,C8w,su1,not found in compliation or diversity panel,2015,New York,Manually Added 2021.09.06
14A0218,C90,su1,Found in Diversity Panel. No notes,2014,New York,
14A0682,C90,su1,Found in Diversity Panel. No notes,2014,New York,
31476,C90,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0406,C90,su1,Found in Diversity Panel. No notes,2015,New York,
14A0011,Check1,su1se1,We05407,2014,New York,
14A0043,Check1,su1se1,We05407,2014,New York,
14A0050,Check1,su1se1,We05407,2014,New York,
14A0078,Check1,su1se1,We05407,2014,New York,
14A0444,Check1,su1se1,We05407,2014,New York,
14A0505,Check1,su1se1,We05407,2014,New York,
14A0508,Check1,su1se1,We05407,2014,New York,
30501,Check1,su1se1,We05407,2014,Wisconsin,
30836,Check1,su1se1,We05407,2014,Wisconsin,
30849,Check1,su1se1,We05407,2014,Wisconsin,
30871,Check1,su1se1,We05407,2014,Wisconsin,
30905,Check1,su1se1,We05407,2014,Wisconsin,
30933,Check1,su1se1,We05407,2014,Wisconsin,
31128,Check1,su1se1,We05407,2014,Wisconsin,
31280,Check1,su1se1,We05407,2014,Wisconsin,
31453,Check1,su1se1,We05407,2014,Wisconsin,
15A0001,Check1,su1se1,We05407,2015,New York,
15A0041,Check1,su1se1,We05407,2015,New York,
15A0048,Check1,su1se1,We05407,2015,New York,
15A0079,Check1,su1se1,We05407,2015,New York,
15A0096,Check1,su1se1,We05407,2015,New York,
15A0495,Check1,su1se1,We05407,2015,New York,
15A0519,Check1,su1se1,We05407,2015,New York,
15A0530,Check1,su1se1,We05407,2015,New York,
15A0572,Check1,su1se1,We05407,2015,New York,
15A0594,Check1,su1se1,We05407,2015,New York,
2206,Check1,su1se1,We05407,2015,Wisconsin,
2213,Check1,su1se1,We05407,2015,Wisconsin,
2336,Check1,su1se1,We05407,2015,Wisconsin,
2558,Check1,su1se1,We05407,2015,Wisconsin,
2560,Check1,su1se1,We05407,2015,Wisconsin,
14A0019,Check2,su1,W5579,2014,New York,
14A0030,Check2,su1,W5579,2014,New York,
14A0053,Check2,su1,W5579,2014,New York,
14A0067,Check2,su1,W5579,2014,New York,
14A0097,Check2,su1,W5579,2014,New York,
14A0126,Check2,su1,W5579,2014,New York,
14A0154,Check2,su1,W5579,2014,New York,
14A0160,Check2,su1,W5579,2014,New York,
14A0186,Check2,su1,W5579,2014,New York,
14A0214,Check2,su1,W5579,2014,New York,
14A0229,Check2,su1,W5579,2014,New York,
14A0253,Check2,su1,W5579,2014,New York,
14A0278,Check2,su1,W5579,2014,New York,
14A0303,Check2,su1,W5579,2014,New York,
14A0315,Check2,su1,W5579,2014,New York,
14A0351,Check2,su1,W5579,2014,New York,
14A0448,Check2,su1,W5579,2014,New York,
14A0466,Check2,su1,W5579,2014,New York,
14A0506,Check2,su1,W5579,2014,New York,
14A0514,Check2,su1,W5579,2014,New York,
14A0533,Check2,su1,W5579,2014,New York,
14A0561,Check2,su1,W5579,2014,New York,
14A0586,Check2,su1,W5579,2014,New York,
14A0595,Check2,su1,W5579,2014,New York,
14A0624,Check2,su1,W5579,2014,New York,
14A0652,Check2,su1,W5579,2014,New York,
14A0673,Check2,su1,W5579,2014,New York,
14A0697,Check2,su1,W5579,2014,New York,
14A0708,Check2,su1,W5579,2014,New York,
14A0743,Check2,su1,W5579,2014,New York,
14A0755,Check2,su1,W5579,2014,New York,
14A0785,Check2,su1,W5579,2014,New York,
30479,Check2,su1,W5579,2014,Wisconsin,
30726,Check2,su1,W5579,2014,Wisconsin,
30843,Check2,su1,W5579,2014,Wisconsin,
30873,Check2,su1,W5579,2014,Wisconsin,
30930,Check2,su1,W5579,2014,Wisconsin,
30947,Check2,su1,W5579,2014,Wisconsin,
31103,Check2,su1,W5579,2014,Wisconsin,
31113,Check2,su1,W5579,2014,Wisconsin,
31143,Check2,su1,W5579,2014,Wisconsin,
31319,Check2,su1,W5579,2014,Wisconsin,
31428,Check2,su1,W5579,2014,Wisconsin,
31439,Check2,su1,W5579,2014,Wisconsin,
31477,Check2,su1,W5579,2014,Wisconsin,
31504,Check2,su1,W5579,2014,Wisconsin,
31518,Check2,su1,W5579,2014,Wisconsin,
31545,Check2,su1,W5579,2014,Wisconsin,
31628,Check2,su1,W5579,2014,Wisconsin,
31712,Check2,su1,W5579,2014,Wisconsin,
31741,Check2,su1,W5579,2014,Wisconsin,
31747,Check2,su1,W5579,2014,Wisconsin,
32031,Check2,su1,W5579,2014,Wisconsin,
32068,Check2,su1,W5579,2014,Wisconsin,
32070,Check2,su1,W5579,2014,Wisconsin,
32101,Check2,su1,W5579,2014,Wisconsin,
32138,Check2,su1,W5579,2014,Wisconsin,
32353,Check2,su1,W5579,2014,Wisconsin,
32468,Check2,su1,W5579,2014,Wisconsin,
15A0007,Check2,su1,W5579,2015,New York,
15A0043,Check2,su1,W5579,2015,New York,
15A0049,Check2,su1,W5579,2015,New York,
15A0077,Check2,su1,W5579,2015,New York,
15A0094,Check2,su1,W5579,2015,New York,
15A0125,Check2,su1,W5579,2015,New York,
15A0143,Check2,su1,W5579,2015,New York,
15A0168,Check2,su1,W5579,2015,New York,
15A0184,Check2,su1,W5579,2015,New York,
15A0205,Check2,su1,W5579,2015,New York,
15A0232,Check2,su1,W5579,2015,New York,
15A0246,Check2,su1,W5579,2015,New York,
15A0272,Check2,su1,W5579,2015,New York,
15A0290,Check2,su1,W5579,2015,New York,
15A0309,Check2,su1,W5579,2015,New York,
15A0335,Check2,su1,W5579,2015,New York,
15A0359,Check2,su1,W5579,2015,New York,
15A0505,Check2,su1,W5579,2015,New York,
15A0516,Check2,su1,W5579,2015,New York,
15A0539,Check2,su1,W5579,2015,New York,
15A0561,Check2,su1,W5579,2015,New York,
15A0590,Check2,su1,W5579,2015,New York,
15A0602,Check2,su1,W5579,2015,New York,
15A0637,Check2,su1,W5579,2015,New York,
15A0639,Check2,su1,W5579,2015,New York,
15A0669,Check2,su1,W5579,2015,New York,
15A0690,Check2,su1,W5579,2015,New York,
15A0716,Check2,su1,W5579,2015,New York,
15A0735,Check2,su1,W5579,2015,New York,
15A0767,Check2,su1,W5579,2015,New York,
15A0774,Check2,su1,W5579,2015,New York,
15A0801,Check2,su1,W5579,2015,New York,
15A0815,Check2,su1,W5579,2015,New York,
15A0838,Check2,su1,W5579,2015,New York,
2231,Check2,su1,W5579,2015,Wisconsin,
2358,Check2,su1,W5579,2015,Wisconsin,
2361,Check2,su1,W5579,2015,Wisconsin,
2434,Check2,su1,W5579,2015,Wisconsin,
2548,Check2,su1,W5579,2015,Wisconsin,
2566,Check2,su1,W5579,2015,Wisconsin,
2619,Check2,su1,W5579,2015,Wisconsin,
2737,Check2,su1,W5579,2015,Wisconsin,
2765,Check2,su1,W5579,2015,Wisconsin,
2831,Check2,su1,W5579,2015,Wisconsin,
2933,Check2,su1,W5579,2015,Wisconsin,
2953,Check2,su1,W5579,2015,Wisconsin,
2961,Check2,su1,W5579,2015,Wisconsin,
3005,Check2,su1,W5579,2015,Wisconsin,
3138,Check2,su1,W5579,2015,Wisconsin,
3205,Check2,su1,W5579,2015,Wisconsin,
14A0091,Check3,su1,Ia5125,2014,New York,
14A0123,Check3,su1,Ia5125,2014,New York,
14A0139,Check3,su1,Ia5125,2014,New York,
14A0164,Check3,su1,Ia5125,2014,New York,
14A0216,Check3,su1,Ia5125,2014,New York,
14A0234,Check3,su1,Ia5125,2014,New York,
14A0244,Check3,su1,Ia5125,2014,New York,
